name,date,unit,year,country
MN635395.1,2005-07-13,South Africa,2005,South Africa
MN635396.1,2005-07-13,South Africa,2005,South Africa
MN635397.1,2005-07-13,South Africa,2005,South Africa
MN635398.1,2005-07-13,South Africa,2005,South Africa
MN635399.1,2005-07-13,South Africa,2005,South Africa
JX976653.1,2005-XX-XX,South Africa,2005,South Africa
JX976654.1,2005-XX-XX,South Africa,2005,South Africa
JX976655.1,2005-XX-XX,South Africa,2005,South Africa
JX976656.1,2005-XX-XX,South Africa,2005,South Africa
JX976657.1,2005-XX-XX,South Africa,2005,South Africa
JX976658.1,2005-XX-XX,South Africa,2005,South Africa
JQ754187.1,2005-XX-XX,South Africa,2005,South Africa
JQ754188.1,2005-XX-XX,South Africa,2005,South Africa
JQ754189.1,2005-XX-XX,South Africa,2005,South Africa
JQ754190.1,2005-XX-XX,South Africa,2005,South Africa
JQ754191.1,2005-XX-XX,South Africa,2005,South Africa
JQ754192.1,2005-XX-XX,South Africa,2005,South Africa
JQ754194.1,2005-XX-XX,South Africa,2005,South Africa
JQ754195.1,2005-XX-XX,South Africa,2005,South Africa
JQ754196.1,2005-XX-XX,South Africa,2005,South Africa
JQ754197.1,2005-XX-XX,South Africa,2005,South Africa
JQ754198.1,2005-XX-XX,South Africa,2005,South Africa
JQ754199.1,2005-XX-XX,South Africa,2005,South Africa
JQ754200.1,2005-XX-XX,South Africa,2005,South Africa
JQ754201.1,2005-XX-XX,South Africa,2005,South Africa
JQ754202.1,2005-XX-XX,South Africa,2005,South Africa
JQ754203.1,2005-XX-XX,South Africa,2005,South Africa
JQ754204.1,2005-XX-XX,South Africa,2005,South Africa
JQ754205.1,2005-XX-XX,South Africa,2005,South Africa
JQ754206.1,2005-XX-XX,South Africa,2005,South Africa
JQ754207.1,2005-XX-XX,South Africa,2005,South Africa
JQ754208.1,2005-XX-XX,South Africa,2005,South Africa
JQ754210.1,2005-XX-XX,South Africa,2005,South Africa
JQ754211.1,2005-XX-XX,South Africa,2005,South Africa
JQ754212.1,2005-XX-XX,South Africa,2005,South Africa
JQ754213.1,2005-XX-XX,South Africa,2005,South Africa
JQ754214.1,2005-XX-XX,South Africa,2005,South Africa
JQ754215.1,2005-XX-XX,South Africa,2005,South Africa
JQ754216.1,2005-XX-XX,South Africa,2005,South Africa
JQ754217.1,2005-XX-XX,South Africa,2005,South Africa
JQ754218.1,2005-XX-XX,South Africa,2005,South Africa
JQ754219.1,2005-XX-XX,South Africa,2005,South Africa
JQ754220.1,2005-XX-XX,South Africa,2005,South Africa
