name,date,unit,year,country
FJ444543.1,2005-01-19,Malawi,2005,Malawi
FJ444545.1,2005-01-19,Malawi,2005,Malawi
FJ444546.1,2005-01-19,Malawi,2005,Malawi
FJ444547.1,2005-01-19,Malawi,2005,Malawi
FJ444548.1,2005-01-19,Malawi,2005,Malawi
FJ444549.1,2005-01-19,Malawi,2005,Malawi
FJ444550.1,2005-01-19,Malawi,2005,Malawi
FJ444552.1,2005-01-19,Malawi,2005,Malawi
FJ444553.1,2005-01-19,Malawi,2005,Malawi
FJ444554.1,2005-01-19,Malawi,2005,Malawi
FJ444555.1,2005-01-19,Malawi,2005,Malawi
FJ444556.1,2005-01-19,Malawi,2005,Malawi
FJ444557.1,2005-01-19,Malawi,2005,Malawi
FJ444558.1,2005-01-19,Malawi,2005,Malawi
FJ444559.1,2005-01-19,Malawi,2005,Malawi
FJ444561.1,2005-01-19,Malawi,2005,Malawi
FJ444562.1,2005-01-19,Malawi,2005,Malawi
FJ444563.1,2005-01-19,Malawi,2005,Malawi
FJ444564.1,2005-01-19,Malawi,2005,Malawi
FJ444565.1,2005-01-19,Malawi,2005,Malawi
KC862610.1,2005-02-07,Malawi,2005,Malawi
KC862611.1,2005-02-07,Malawi,2005,Malawi
KC862612.1,2005-02-07,Malawi,2005,Malawi
KC862613.1,2005-02-07,Malawi,2005,Malawi
KC862614.1,2005-02-07,Malawi,2005,Malawi
KC862615.1,2005-02-07,Malawi,2005,Malawi
KC862616.1,2005-02-07,Malawi,2005,Malawi
KC862617.1,2005-02-07,Malawi,2005,Malawi
KC862618.1,2005-02-07,Malawi,2005,Malawi
KC862619.1,2005-02-07,Malawi,2005,Malawi
KC862620.1,2005-02-07,Malawi,2005,Malawi
KC862621.1,2005-02-07,Malawi,2005,Malawi
KC862622.1,2005-02-07,Malawi,2005,Malawi
KC862623.1,2005-02-07,Malawi,2005,Malawi
KC862624.1,2005-02-07,Malawi,2005,Malawi
KC862625.1,2005-02-07,Malawi,2005,Malawi
KC862626.1,2005-02-07,Malawi,2005,Malawi
KC862627.1,2005-02-15,Malawi,2005,Malawi
KC862628.1,2005-02-15,Malawi,2005,Malawi
KC862629.1,2005-02-15,Malawi,2005,Malawi
KC862630.1,2005-02-15,Malawi,2005,Malawi
KC862631.1,2005-02-15,Malawi,2005,Malawi
KC862632.1,2005-02-15,Malawi,2005,Malawi
KC862633.1,2005-02-15,Malawi,2005,Malawi
KC862634.1,2005-02-15,Malawi,2005,Malawi
KC862635.1,2005-02-15,Malawi,2005,Malawi
KC862636.1,2005-02-15,Malawi,2005,Malawi
KC862637.1,2005-02-15,Malawi,2005,Malawi
KC862638.1,2005-02-15,Malawi,2005,Malawi
KC862639.1,2005-02-15,Malawi,2005,Malawi
KC862640.1,2005-02-15,Malawi,2005,Malawi
KC862641.1,2005-02-15,Malawi,2005,Malawi
KC862642.1,2005-02-15,Malawi,2005,Malawi
KC862643.1,2005-02-15,Malawi,2005,Malawi
KC862644.1,2005-02-15,Malawi,2005,Malawi
KC862645.1,2005-02-15,Malawi,2005,Malawi
KC862646.1,2005-02-15,Malawi,2005,Malawi
KC862647.1,2005-02-15,Malawi,2005,Malawi
KC862709.1,2005-02-21,Malawi,2005,Malawi
KC862710.1,2005-02-21,Malawi,2005,Malawi
KC862711.1,2005-02-21,Malawi,2005,Malawi
KC862712.1,2005-02-21,Malawi,2005,Malawi
KC862713.1,2005-02-21,Malawi,2005,Malawi
KC862714.1,2005-02-21,Malawi,2005,Malawi
KC862715.1,2005-02-21,Malawi,2005,Malawi
KC862716.1,2005-02-21,Malawi,2005,Malawi
KC862717.1,2005-02-21,Malawi,2005,Malawi
