name,date,unit,year,country
GQ916576.1,2008-02-XX,Thailand,2008,Thailand
GQ916577.1,2008-02-XX,Thailand,2008,Thailand
GQ916578.1,2008-02-XX,Thailand,2008,Thailand
GQ916579.1,2008-02-XX,Thailand,2008,Thailand
GQ916580.1,2008-02-XX,Thailand,2008,Thailand
GQ916581.1,2008-02-XX,Thailand,2008,Thailand
GQ916582.1,2008-02-XX,Thailand,2008,Thailand
GQ916583.1,2008-02-XX,Thailand,2008,Thailand
KC749035.1,2008-02-20,Thailand,2008,Thailand
KC749036.1,2008-02-20,Thailand,2008,Thailand
KC749037.1,2008-02-20,Thailand,2008,Thailand
KC749038.1,2008-02-20,Thailand,2008,Thailand
KC749039.1,2008-02-20,Thailand,2008,Thailand
KC749040.1,2008-02-20,Thailand,2008,Thailand
KC749041.1,2008-02-20,Thailand,2008,Thailand
KC749042.1,2008-02-20,Thailand,2008,Thailand
KC749043.1,2008-02-20,Thailand,2008,Thailand
KC749044.1,2008-02-20,Thailand,2008,Thailand
KC749045.1,2008-02-20,Thailand,2008,Thailand
KC749046.1,2008-02-20,Thailand,2008,Thailand
KC749048.1,2008-02-20,Thailand,2008,Thailand
KC749049.1,2008-02-20,Thailand,2008,Thailand
KC749050.1,2008-02-20,Thailand,2008,Thailand
KC749051.1,2008-02-20,Thailand,2008,Thailand
KC749052.1,2008-02-20,Thailand,2008,Thailand
KC749053.1,2008-02-20,Thailand,2008,Thailand
KC749054.1,2008-02-20,Thailand,2008,Thailand
KC749055.1,2008-02-20,Thailand,2008,Thailand
KC749056.1,2008-02-20,Thailand,2008,Thailand
KC749057.1,2008-02-20,Thailand,2008,Thailand
KC749058.1,2008-02-20,Thailand,2008,Thailand
KC749059.1,2008-02-20,Thailand,2008,Thailand
KC749060.1,2008-02-20,Thailand,2008,Thailand
KC749061.1,2008-02-20,Thailand,2008,Thailand
JF297229.1,2008-02-20,Thailand,2008,Thailand
JF297230.1,2008-03-20,Thailand,2008,Thailand
GQ916585.1,2008-05-XX,Thailand,2008,Thailand
GQ916587.1,2008-05-XX,Thailand,2008,Thailand
GQ916588.1,2008-05-XX,Thailand,2008,Thailand
GQ916590.1,2008-05-XX,Thailand,2008,Thailand
GQ916591.1,2008-05-XX,Thailand,2008,Thailand
GQ916592.1,2008-05-XX,Thailand,2008,Thailand
GQ916593.1,2008-05-XX,Thailand,2008,Thailand
MZ346679.1,2008-XX-XX,Thailand,2008,Thailand
MZ346680.1,2008-XX-XX,Thailand,2008,Thailand
MZ346681.1,2008-XX-XX,Thailand,2008,Thailand
MZ346682.1,2008-XX-XX,Thailand,2008,Thailand
MZ346683.1,2008-XX-XX,Thailand,2008,Thailand
MZ346684.1,2008-XX-XX,Thailand,2008,Thailand
MZ346685.1,2008-XX-XX,Thailand,2008,Thailand
MZ346686.1,2008-XX-XX,Thailand,2008,Thailand
MZ346687.1,2008-XX-XX,Thailand,2008,Thailand
MZ346688.1,2008-XX-XX,Thailand,2008,Thailand
MZ346689.1,2008-XX-XX,Thailand,2008,Thailand
MZ346690.1,2008-XX-XX,Thailand,2008,Thailand
MZ346691.1,2008-XX-XX,Thailand,2008,Thailand
MZ346693.1,2008-XX-XX,Thailand,2008,Thailand
MZ346694.1,2008-XX-XX,Thailand,2008,Thailand
MZ346695.1,2008-XX-XX,Thailand,2008,Thailand
MZ346696.1,2008-XX-XX,Thailand,2008,Thailand
MZ346697.1,2008-XX-XX,Thailand,2008,Thailand
MZ346698.1,2008-XX-XX,Thailand,2008,Thailand
MZ346699.1,2008-XX-XX,Thailand,2008,Thailand
