name,date,unit,year,country
HQ659584.1,2000-01-08,Tanzania,2000,Tanzania
HQ659585.1,2000-01-08,Tanzania,2000,Tanzania
HQ659586.1,2000-01-08,Tanzania,2000,Tanzania
HQ659587.1,2000-01-08,Tanzania,2000,Tanzania
HQ659588.1,2000-01-08,Tanzania,2000,Tanzania
HQ659589.1,2000-01-08,Tanzania,2000,Tanzania
HQ659590.1,2000-01-08,Tanzania,2000,Tanzania
HQ659591.1,2000-01-08,Tanzania,2000,Tanzania
HQ659592.1,2000-01-08,Tanzania,2000,Tanzania
HQ659593.1,2000-01-08,Tanzania,2000,Tanzania
HQ659594.1,2000-01-08,Tanzania,2000,Tanzania
HQ659595.1,2000-01-08,Tanzania,2000,Tanzania
HQ659596.1,2000-01-08,Tanzania,2000,Tanzania
HQ659597.1,2000-01-08,Tanzania,2000,Tanzania
HQ659598.1,2000-01-08,Tanzania,2000,Tanzania
HQ659599.1,2000-01-08,Tanzania,2000,Tanzania
HQ659600.1,2000-01-08,Tanzania,2000,Tanzania
HQ659601.1,2000-01-08,Tanzania,2000,Tanzania
HQ659602.1,2000-01-08,Tanzania,2000,Tanzania
HQ659603.1,2000-01-08,Tanzania,2000,Tanzania
HQ659612.1,2000-01-08,Tanzania,2000,Tanzania
HQ659613.1,2000-01-08,Tanzania,2000,Tanzania
HQ659614.1,2000-01-08,Tanzania,2000,Tanzania
HQ659615.1,2000-01-08,Tanzania,2000,Tanzania
HQ659616.1,2000-01-08,Tanzania,2000,Tanzania
HQ659617.1,2000-01-08,Tanzania,2000,Tanzania
HQ659618.1,2000-01-08,Tanzania,2000,Tanzania
HQ659619.1,2000-01-08,Tanzania,2000,Tanzania
HQ659620.1,2000-01-08,Tanzania,2000,Tanzania
HQ659621.1,2000-01-08,Tanzania,2000,Tanzania
HQ659622.1,2000-01-08,Tanzania,2000,Tanzania
HQ659623.1,2000-01-08,Tanzania,2000,Tanzania
HQ659624.1,2000-01-08,Tanzania,2000,Tanzania
HQ659625.1,2000-01-08,Tanzania,2000,Tanzania
HQ659626.1,2000-01-08,Tanzania,2000,Tanzania
HQ659627.1,2000-01-08,Tanzania,2000,Tanzania
HQ659628.1,2000-01-08,Tanzania,2000,Tanzania
HQ659629.1,2000-01-08,Tanzania,2000,Tanzania
HQ659630.1,2000-01-08,Tanzania,2000,Tanzania
HQ659631.1,2000-01-08,Tanzania,2000,Tanzania
HQ659632.1,2000-01-08,Tanzania,2000,Tanzania
HQ659633.1,2000-01-08,Tanzania,2000,Tanzania
HQ659634.1,2000-01-08,Tanzania,2000,Tanzania
HQ659635.1,2000-01-08,Tanzania,2000,Tanzania
HQ659636.1,2000-01-08,Tanzania,2000,Tanzania
HQ688994.1,2000-01-08,Tanzania,2000,Tanzania
HQ688995.1,2000-01-08,Tanzania,2000,Tanzania
HQ688996.1,2000-01-08,Tanzania,2000,Tanzania
HQ688997.1,2000-01-08,Tanzania,2000,Tanzania
HQ688998.1,2000-01-08,Tanzania,2000,Tanzania
HQ688999.1,2000-01-08,Tanzania,2000,Tanzania
HQ689000.1,2000-01-08,Tanzania,2000,Tanzania
HQ689001.1,2000-01-08,Tanzania,2000,Tanzania
HQ689002.1,2000-01-08,Tanzania,2000,Tanzania
HQ689003.1,2000-01-08,Tanzania,2000,Tanzania
HQ689004.1,2000-01-08,Tanzania,2000,Tanzania
HQ689005.1,2000-01-08,Tanzania,2000,Tanzania
HQ689006.1,2000-01-08,Tanzania,2000,Tanzania
HQ689007.1,2000-01-08,Tanzania,2000,Tanzania
HQ689008.1,2000-01-08,Tanzania,2000,Tanzania
HQ689009.1,2000-01-08,Tanzania,2000,Tanzania
HQ689010.1,2000-01-08,Tanzania,2000,Tanzania
HQ689011.1,2000-01-08,Tanzania,2000,Tanzania
HQ689012.1,2000-01-08,Tanzania,2000,Tanzania
HQ689014.1,2000-01-08,Tanzania,2000,Tanzania
HQ689016.1,2000-01-08,Tanzania,2000,Tanzania
HQ689017.1,2000-01-08,Tanzania,2000,Tanzania
HQ689018.1,2000-01-08,Tanzania,2000,Tanzania
HQ689019.1,2000-01-08,Tanzania,2000,Tanzania
HQ689020.1,2000-01-08,Tanzania,2000,Tanzania
HQ689021.1,2000-01-08,Tanzania,2000,Tanzania
HQ689022.1,2000-01-08,Tanzania,2000,Tanzania
HQ689023.1,2000-01-08,Tanzania,2000,Tanzania
HQ689024.1,2000-01-08,Tanzania,2000,Tanzania
MK501600.1,2000-XX-XX,Tanzania,2000,Tanzania
HQ697994.1,2000-08-01,Tanzania,2000,Tanzania
HQ697995.1,2000-08-01,Tanzania,2000,Tanzania
HQ697996.1,2000-08-01,Tanzania,2000,Tanzania
HQ697997.1,2000-08-01,Tanzania,2000,Tanzania
HQ697998.1,2000-08-01,Tanzania,2000,Tanzania
HQ697999.1,2000-08-01,Tanzania,2000,Tanzania
HQ698000.1,2000-08-01,Tanzania,2000,Tanzania
HQ698001.1,2000-08-01,Tanzania,2000,Tanzania
HQ698002.1,2000-08-01,Tanzania,2000,Tanzania
HQ698003.1,2000-08-01,Tanzania,2000,Tanzania
HQ698004.1,2000-08-01,Tanzania,2000,Tanzania
HQ698005.1,2000-08-01,Tanzania,2000,Tanzania
HQ698007.1,2000-08-01,Tanzania,2000,Tanzania
HQ698008.1,2000-08-01,Tanzania,2000,Tanzania
HQ698009.1,2000-08-01,Tanzania,2000,Tanzania
HQ698010.1,2000-08-01,Tanzania,2000,Tanzania
HQ698011.1,2000-08-01,Tanzania,2000,Tanzania
HQ698012.1,2000-08-01,Tanzania,2000,Tanzania
HQ698013.1,2000-08-01,Tanzania,2000,Tanzania
HQ698014.1,2000-08-01,Tanzania,2000,Tanzania
HQ698015.1,2000-08-01,Tanzania,2000,Tanzania
HQ698016.1,2000-08-01,Tanzania,2000,Tanzania
HQ698017.1,2000-08-01,Tanzania,2000,Tanzania
HQ698018.1,2000-08-01,Tanzania,2000,Tanzania
HQ698019.1,2000-08-01,Tanzania,2000,Tanzania
HQ698020.1,2000-08-01,Tanzania,2000,Tanzania
HQ698021.1,2000-08-01,Tanzania,2000,Tanzania
HQ698022.1,2000-08-01,Tanzania,2000,Tanzania
HQ698023.1,2000-08-01,Tanzania,2000,Tanzania
HQ698024.1,2000-08-01,Tanzania,2000,Tanzania
HQ698025.1,2000-08-01,Tanzania,2000,Tanzania
HQ698026.1,2000-08-01,Tanzania,2000,Tanzania
HQ698027.1,2000-08-01,Tanzania,2000,Tanzania
HQ698028.1,2000-08-01,Tanzania,2000,Tanzania
HQ698029.1,2000-08-01,Tanzania,2000,Tanzania
HQ698030.1,2000-08-01,Tanzania,2000,Tanzania
HQ698031.1,2000-08-01,Tanzania,2000,Tanzania
HQ698032.1,2000-08-01,Tanzania,2000,Tanzania
HQ698033.1,2000-08-01,Tanzania,2000,Tanzania
HQ698034.1,2000-08-01,Tanzania,2000,Tanzania
HQ698035.1,2000-08-01,Tanzania,2000,Tanzania
HQ698036.1,2000-08-01,Tanzania,2000,Tanzania
HQ698038.1,2000-08-01,Tanzania,2000,Tanzania
HQ698039.1,2000-08-01,Tanzania,2000,Tanzania
