name,date,unit,year,country
MW188852.1,2012-06-21,USA,2012,USA
MW189618.1,2012-06-29,USA,2012,USA
MW189620.1,2012-06-29,USA,2012,USA
OP977447.1,2012-07-02,USA,2012,USA
OP977448.1,2012-07-02,USA,2012,USA
OP977449.1,2012-07-02,USA,2012,USA
OP977450.1,2012-07-02,USA,2012,USA
OP977451.1,2012-07-02,USA,2012,USA
OP977452.1,2012-07-02,USA,2012,USA
OP977453.1,2012-07-02,USA,2012,USA
OP977454.1,2012-07-02,USA,2012,USA
OP977455.1,2012-07-02,USA,2012,USA
OP977456.1,2012-07-02,USA,2012,USA
OP977457.1,2012-07-02,USA,2012,USA
OP977458.1,2012-07-02,USA,2012,USA
OP977459.1,2012-07-02,USA,2012,USA
OP977460.1,2012-07-02,USA,2012,USA
OP977461.1,2012-07-02,USA,2012,USA
OP977462.1,2012-07-02,USA,2012,USA
KX156387.1,2012-XX-XX,USA,2012,USA
KX156388.1,2012-XX-XX,USA,2012,USA
KX156389.1,2012-XX-XX,USA,2012,USA
KX156390.1,2012-XX-XX,USA,2012,USA
KX156391.1,2012-XX-XX,USA,2012,USA
KX156392.1,2012-XX-XX,USA,2012,USA
KX156393.1,2012-XX-XX,USA,2012,USA
KX156394.1,2012-XX-XX,USA,2012,USA
KX156395.1,2012-XX-XX,USA,2012,USA
KX156396.1,2012-XX-XX,USA,2012,USA
KX156397.1,2012-XX-XX,USA,2012,USA
KX156398.1,2012-XX-XX,USA,2012,USA
KX156399.1,2012-XX-XX,USA,2012,USA
KX156400.1,2012-XX-XX,USA,2012,USA
KX156401.1,2012-XX-XX,USA,2012,USA
KX156402.1,2012-XX-XX,USA,2012,USA
KX156403.1,2012-XX-XX,USA,2012,USA
KX156404.1,2012-XX-XX,USA,2012,USA
KX156405.1,2012-XX-XX,USA,2012,USA
KX156406.1,2012-XX-XX,USA,2012,USA
KX156407.1,2012-XX-XX,USA,2012,USA
KX156408.1,2012-XX-XX,USA,2012,USA
KX156409.1,2012-XX-XX,USA,2012,USA
KX156410.1,2012-XX-XX,USA,2012,USA
KX156411.1,2012-XX-XX,USA,2012,USA
KX156412.1,2012-XX-XX,USA,2012,USA
KX156413.1,2012-XX-XX,USA,2012,USA
KX156414.1,2012-XX-XX,USA,2012,USA
KX156415.1,2012-XX-XX,USA,2012,USA
KX156416.1,2012-XX-XX,USA,2012,USA
KX156417.1,2012-XX-XX,USA,2012,USA
KX156418.1,2012-XX-XX,USA,2012,USA
KX156419.1,2012-XX-XX,USA,2012,USA
KX156420.1,2012-XX-XX,USA,2012,USA
KX156421.1,2012-XX-XX,USA,2012,USA
OP976410.1,2012-08-07,USA,2012,USA
OP976411.1,2012-08-07,USA,2012,USA
OP976412.1,2012-08-07,USA,2012,USA
OP976413.1,2012-08-07,USA,2012,USA
OP976414.1,2012-08-07,USA,2012,USA
OP976415.1,2012-08-07,USA,2012,USA
OP976416.1,2012-08-07,USA,2012,USA
OP976417.1,2012-08-07,USA,2012,USA
OP976418.1,2012-08-07,USA,2012,USA
OP976419.1,2012-08-07,USA,2012,USA
OP976420.1,2012-08-07,USA,2012,USA
KM986883.1,2012-09-08,USA,2012,USA
KM986884.1,2012-09-08,USA,2012,USA
KM986885.1,2012-09-08,USA,2012,USA
OP976421.1,2012-09-11,USA,2012,USA
OP976423.1,2012-09-11,USA,2012,USA
OP976424.1,2012-09-11,USA,2012,USA
OP976425.1,2012-09-11,USA,2012,USA
OP976426.1,2012-09-11,USA,2012,USA
OP976427.1,2012-09-11,USA,2012,USA
OP976428.1,2012-09-11,USA,2012,USA
OP976399.1,2012-10-23,USA,2012,USA
OP976400.1,2012-10-23,USA,2012,USA
OP976401.1,2012-10-23,USA,2012,USA
OP976402.1,2012-10-23,USA,2012,USA
OP976403.1,2012-10-23,USA,2012,USA
OP976404.1,2012-10-23,USA,2012,USA
OP976405.1,2012-10-23,USA,2012,USA
OP976406.1,2012-10-23,USA,2012,USA
OP976407.1,2012-10-23,USA,2012,USA
OP976408.1,2012-10-23,USA,2012,USA
OP976409.1,2012-10-23,USA,2012,USA
KX595119.1,2012-12-03,USA,2012,USA
KX595120.1,2012-12-03,USA,2012,USA
KX595121.1,2012-12-03,USA,2012,USA
KX595122.1,2012-12-03,USA,2012,USA
OP976386.1,2012-12-20,USA,2012,USA
OP976387.1,2012-12-20,USA,2012,USA
OP976388.1,2012-12-20,USA,2012,USA
OP976389.1,2012-12-20,USA,2012,USA
OP976390.1,2012-12-20,USA,2012,USA
OP976391.1,2012-12-20,USA,2012,USA
OP976392.1,2012-12-20,USA,2012,USA
OP976393.1,2012-12-20,USA,2012,USA
OP976394.1,2012-12-20,USA,2012,USA
OP976395.1,2012-12-20,USA,2012,USA
OP976396.1,2012-12-20,USA,2012,USA
OP976397.1,2012-12-20,USA,2012,USA
OP976398.1,2012-12-20,USA,2012,USA
