name,date,unit,year,country
KX792852.1,2003-01-13,Switzerland,2003,Switzerland
KX792853.1,2003-01-13,Switzerland,2003,Switzerland
KX792854.1,2003-01-13,Switzerland,2003,Switzerland
KX792855.1,2003-01-13,Switzerland,2003,Switzerland
KX792856.1,2003-01-13,Switzerland,2003,Switzerland
KX792857.1,2003-01-13,Switzerland,2003,Switzerland
KX792858.1,2003-01-13,Switzerland,2003,Switzerland
KX792859.1,2003-01-13,Switzerland,2003,Switzerland
KX792860.1,2003-01-13,Switzerland,2003,Switzerland
KX792861.1,2003-01-13,Switzerland,2003,Switzerland
KX792862.1,2003-01-13,Switzerland,2003,Switzerland
KX792863.1,2003-01-13,Switzerland,2003,Switzerland
KX792864.1,2003-01-13,Switzerland,2003,Switzerland
KX792865.1,2003-01-13,Switzerland,2003,Switzerland
KX792866.1,2003-01-13,Switzerland,2003,Switzerland
KX792867.1,2003-01-13,Switzerland,2003,Switzerland
KX792868.1,2003-01-13,Switzerland,2003,Switzerland
KX792869.1,2003-01-13,Switzerland,2003,Switzerland
KX792870.1,2003-01-13,Switzerland,2003,Switzerland
KX792871.1,2003-01-13,Switzerland,2003,Switzerland
KX792872.1,2003-01-13,Switzerland,2003,Switzerland
KX792873.1,2003-01-13,Switzerland,2003,Switzerland
KX792874.1,2003-01-13,Switzerland,2003,Switzerland
KX792875.1,2003-01-13,Switzerland,2003,Switzerland
KX792876.1,2003-01-13,Switzerland,2003,Switzerland
KX792877.1,2003-01-13,Switzerland,2003,Switzerland
KX792878.1,2003-01-13,Switzerland,2003,Switzerland
KX792831.1,2003-01-20,Switzerland,2003,Switzerland
KX792832.1,2003-01-20,Switzerland,2003,Switzerland
KX792833.1,2003-01-20,Switzerland,2003,Switzerland
KX792834.1,2003-01-20,Switzerland,2003,Switzerland
KX792835.1,2003-01-20,Switzerland,2003,Switzerland
KX792836.1,2003-01-20,Switzerland,2003,Switzerland
KX792837.1,2003-01-20,Switzerland,2003,Switzerland
KX792838.1,2003-01-20,Switzerland,2003,Switzerland
KX792839.1,2003-01-20,Switzerland,2003,Switzerland
KX792840.1,2003-01-20,Switzerland,2003,Switzerland
KX792841.1,2003-01-20,Switzerland,2003,Switzerland
KX792842.1,2003-01-20,Switzerland,2003,Switzerland
KX792843.1,2003-01-20,Switzerland,2003,Switzerland
KX792844.1,2003-01-20,Switzerland,2003,Switzerland
KX792845.1,2003-01-20,Switzerland,2003,Switzerland
KX792846.1,2003-01-20,Switzerland,2003,Switzerland
KX792847.1,2003-01-20,Switzerland,2003,Switzerland
KX792848.1,2003-01-20,Switzerland,2003,Switzerland
KX792849.1,2003-01-20,Switzerland,2003,Switzerland
KX792850.1,2003-01-20,Switzerland,2003,Switzerland
KX792851.1,2003-01-20,Switzerland,2003,Switzerland
PQ282680.1,2003-XX-XX,Switzerland,2003,Switzerland
PQ282683.1,2003-XX-XX,Switzerland,2003,Switzerland
PQ282691.1,2003-XX-XX,Switzerland,2003,Switzerland
KX792565.1,2003-11-12,Switzerland,2003,Switzerland
KX792566.1,2003-11-12,Switzerland,2003,Switzerland
KX792567.1,2003-11-12,Switzerland,2003,Switzerland
KX792568.1,2003-11-12,Switzerland,2003,Switzerland
KX792569.1,2003-11-12,Switzerland,2003,Switzerland
KX792557.1,2003-11-13,Switzerland,2003,Switzerland
KX792558.1,2003-11-13,Switzerland,2003,Switzerland
KX792559.1,2003-11-13,Switzerland,2003,Switzerland
KX792560.1,2003-11-13,Switzerland,2003,Switzerland
KX792561.1,2003-11-13,Switzerland,2003,Switzerland
KX792562.1,2003-11-13,Switzerland,2003,Switzerland
KX792563.1,2003-11-13,Switzerland,2003,Switzerland
KX792564.1,2003-11-13,Switzerland,2003,Switzerland
