name,date,unit,year,country
KR423592.1,2008-08-05,USA,2008,USA
KR423593.1,2008-08-05,USA,2008,USA
KR423594.1,2008-08-05,USA,2008,USA
KR423595.1,2008-08-05,USA,2008,USA
KR423596.1,2008-08-05,USA,2008,USA
KR423597.1,2008-08-05,USA,2008,USA
KR423598.1,2008-08-05,USA,2008,USA
KR423599.1,2008-08-05,USA,2008,USA
KR423600.1,2008-08-05,USA,2008,USA
KR423601.1,2008-08-05,USA,2008,USA
KR423391.1,2008-08-11,USA,2008,USA
KR423392.1,2008-08-11,USA,2008,USA
KR423393.1,2008-08-11,USA,2008,USA
KR423394.1,2008-08-11,USA,2008,USA
KR423395.1,2008-08-11,USA,2008,USA
KR423396.1,2008-08-11,USA,2008,USA
KR423397.1,2008-08-11,USA,2008,USA
KR423398.1,2008-08-11,USA,2008,USA
KR423399.1,2008-08-11,USA,2008,USA
KR423400.1,2008-08-11,USA,2008,USA
KR423401.1,2008-08-11,USA,2008,USA
KR423402.1,2008-08-11,USA,2008,USA
KR423403.1,2008-08-11,USA,2008,USA
KR423404.1,2008-08-11,USA,2008,USA
KR423405.1,2008-08-11,USA,2008,USA
KR423406.1,2008-08-11,USA,2008,USA
KR423407.1,2008-08-11,USA,2008,USA
KR423408.1,2008-08-11,USA,2008,USA
KR423409.1,2008-08-11,USA,2008,USA
KR425470.1,2008-08-11,USA,2008,USA
KR425471.1,2008-08-11,USA,2008,USA
KR425472.1,2008-08-11,USA,2008,USA
KR425473.1,2008-08-11,USA,2008,USA
KR425474.1,2008-08-11,USA,2008,USA
KX518154.1,2008-08-XX,USA,2008,USA
KX518155.1,2008-08-XX,USA,2008,USA
KX518156.1,2008-08-XX,USA,2008,USA
KX518158.1,2008-08-XX,USA,2008,USA
KX518159.1,2008-08-XX,USA,2008,USA
KX518160.1,2008-08-XX,USA,2008,USA
KX518161.1,2008-08-XX,USA,2008,USA
KX518162.1,2008-08-XX,USA,2008,USA
KX518163.1,2008-08-XX,USA,2008,USA
KX518164.1,2008-08-XX,USA,2008,USA
KX518165.1,2008-08-XX,USA,2008,USA
KX518166.1,2008-08-XX,USA,2008,USA
KX518167.1,2008-08-XX,USA,2008,USA
KX518168.1,2008-08-XX,USA,2008,USA
KX518170.1,2008-08-XX,USA,2008,USA
KX518171.1,2008-08-XX,USA,2008,USA
KX518172.1,2008-08-XX,USA,2008,USA
