name,date,unit,year,country
FJ444347.1,2003-04-10,Malawi,2003,Malawi
FJ444348.1,2003-04-10,Malawi,2003,Malawi
FJ444350.1,2003-04-10,Malawi,2003,Malawi
FJ444351.1,2003-04-10,Malawi,2003,Malawi
FJ444352.1,2003-04-10,Malawi,2003,Malawi
FJ444353.1,2003-04-10,Malawi,2003,Malawi
FJ444354.1,2003-04-10,Malawi,2003,Malawi
FJ444355.1,2003-04-10,Malawi,2003,Malawi
FJ444356.1,2003-04-10,Malawi,2003,Malawi
FJ444357.1,2003-04-10,Malawi,2003,Malawi
FJ444358.1,2003-04-10,Malawi,2003,Malawi
FJ444360.1,2003-04-10,Malawi,2003,Malawi
FJ444361.1,2003-04-10,Malawi,2003,Malawi
FJ444363.1,2003-04-10,Malawi,2003,Malawi
FJ444364.1,2003-04-10,Malawi,2003,Malawi
FJ444365.1,2003-04-10,Malawi,2003,Malawi
FJ444366.1,2003-04-10,Malawi,2003,Malawi
FJ444368.1,2003-04-10,Malawi,2003,Malawi
FJ444159.1,2003-04-24,Malawi,2003,Malawi
FJ444160.1,2003-04-24,Malawi,2003,Malawi
FJ444161.1,2003-04-24,Malawi,2003,Malawi
FJ444162.1,2003-04-24,Malawi,2003,Malawi
FJ444164.1,2003-04-24,Malawi,2003,Malawi
FJ444166.1,2003-04-24,Malawi,2003,Malawi
FJ444167.1,2003-04-24,Malawi,2003,Malawi
FJ444168.1,2003-04-24,Malawi,2003,Malawi
FJ444169.1,2003-04-24,Malawi,2003,Malawi
FJ444170.1,2003-04-24,Malawi,2003,Malawi
FJ444172.1,2003-04-24,Malawi,2003,Malawi
FJ444173.1,2003-04-24,Malawi,2003,Malawi
FJ444174.1,2003-04-24,Malawi,2003,Malawi
FJ444175.1,2003-04-24,Malawi,2003,Malawi
FJ444176.1,2003-04-24,Malawi,2003,Malawi
FJ444177.1,2003-04-24,Malawi,2003,Malawi
FJ444178.1,2003-04-24,Malawi,2003,Malawi
FJ444179.1,2003-04-24,Malawi,2003,Malawi
FJ444181.1,2003-04-24,Malawi,2003,Malawi
FJ444182.1,2003-04-24,Malawi,2003,Malawi
FJ444183.1,2003-04-24,Malawi,2003,Malawi
FJ444184.1,2003-04-24,Malawi,2003,Malawi
FJ444185.1,2003-04-24,Malawi,2003,Malawi
FJ444186.1,2003-06-30,Malawi,2003,Malawi
FJ444187.1,2003-06-30,Malawi,2003,Malawi
FJ444188.1,2003-06-30,Malawi,2003,Malawi
FJ444189.1,2003-06-30,Malawi,2003,Malawi
FJ444190.1,2003-06-30,Malawi,2003,Malawi
FJ444192.1,2003-06-30,Malawi,2003,Malawi
FJ444193.1,2003-06-30,Malawi,2003,Malawi
FJ444194.1,2003-06-30,Malawi,2003,Malawi
FJ444195.1,2003-06-30,Malawi,2003,Malawi
FJ444196.1,2003-06-30,Malawi,2003,Malawi
FJ444197.1,2003-06-30,Malawi,2003,Malawi
FJ444198.1,2003-06-30,Malawi,2003,Malawi
FJ444199.1,2003-06-30,Malawi,2003,Malawi
FJ444200.1,2003-06-30,Malawi,2003,Malawi
FJ444201.1,2003-06-30,Malawi,2003,Malawi
FJ444202.1,2003-06-30,Malawi,2003,Malawi
FJ444203.1,2003-06-30,Malawi,2003,Malawi
FJ444204.1,2003-06-30,Malawi,2003,Malawi
FJ444205.1,2003-06-30,Malawi,2003,Malawi
FJ444206.1,2003-06-30,Malawi,2003,Malawi
FJ444207.1,2003-06-30,Malawi,2003,Malawi
FJ444208.1,2003-07-17,Malawi,2003,Malawi
FJ444210.1,2003-07-17,Malawi,2003,Malawi
FJ444211.1,2003-07-17,Malawi,2003,Malawi
FJ444212.1,2003-07-17,Malawi,2003,Malawi
FJ444213.1,2003-07-17,Malawi,2003,Malawi
FJ444214.1,2003-07-17,Malawi,2003,Malawi
FJ444215.1,2003-07-17,Malawi,2003,Malawi
FJ444216.1,2003-07-17,Malawi,2003,Malawi
FJ444217.1,2003-07-17,Malawi,2003,Malawi
FJ444218.1,2003-07-17,Malawi,2003,Malawi
FJ444219.1,2003-07-17,Malawi,2003,Malawi
FJ444220.1,2003-07-17,Malawi,2003,Malawi
FJ444222.1,2003-07-17,Malawi,2003,Malawi
FJ444223.1,2003-07-17,Malawi,2003,Malawi
FJ444224.1,2003-07-17,Malawi,2003,Malawi
FJ444225.1,2003-07-17,Malawi,2003,Malawi
FJ444227.1,2003-07-17,Malawi,2003,Malawi
FJ444229.1,2003-07-17,Malawi,2003,Malawi
FJ444230.1,2003-08-15,Malawi,2003,Malawi
FJ444231.1,2003-08-15,Malawi,2003,Malawi
FJ444232.1,2003-08-15,Malawi,2003,Malawi
FJ444233.1,2003-08-15,Malawi,2003,Malawi
FJ444234.1,2003-08-15,Malawi,2003,Malawi
FJ444235.1,2003-08-15,Malawi,2003,Malawi
FJ444236.1,2003-08-15,Malawi,2003,Malawi
FJ444238.1,2003-08-15,Malawi,2003,Malawi
FJ444239.1,2003-08-15,Malawi,2003,Malawi
FJ444240.1,2003-08-15,Malawi,2003,Malawi
FJ444241.1,2003-08-15,Malawi,2003,Malawi
FJ444242.1,2003-08-15,Malawi,2003,Malawi
FJ444243.1,2003-08-15,Malawi,2003,Malawi
FJ444244.1,2003-08-15,Malawi,2003,Malawi
FJ444245.1,2003-08-15,Malawi,2003,Malawi
FJ444246.1,2003-08-15,Malawi,2003,Malawi
FJ444247.1,2003-08-15,Malawi,2003,Malawi
FJ444248.1,2003-08-15,Malawi,2003,Malawi
FJ444249.1,2003-08-15,Malawi,2003,Malawi
FJ444250.1,2003-08-15,Malawi,2003,Malawi
FJ444251.1,2003-08-15,Malawi,2003,Malawi
FJ444252.1,2003-08-15,Malawi,2003,Malawi
FJ444253.1,2003-09-11,Malawi,2003,Malawi
FJ444254.1,2003-09-11,Malawi,2003,Malawi
FJ444255.1,2003-09-11,Malawi,2003,Malawi
FJ444256.1,2003-09-11,Malawi,2003,Malawi
FJ444257.1,2003-09-11,Malawi,2003,Malawi
FJ444258.1,2003-09-11,Malawi,2003,Malawi
FJ444259.1,2003-09-11,Malawi,2003,Malawi
FJ444260.1,2003-09-11,Malawi,2003,Malawi
FJ444261.1,2003-09-11,Malawi,2003,Malawi
FJ444262.1,2003-09-11,Malawi,2003,Malawi
FJ444263.1,2003-09-11,Malawi,2003,Malawi
FJ444264.1,2003-09-11,Malawi,2003,Malawi
FJ444265.1,2003-09-11,Malawi,2003,Malawi
FJ444266.1,2003-09-11,Malawi,2003,Malawi
FJ444267.1,2003-09-11,Malawi,2003,Malawi
FJ444269.1,2003-09-11,Malawi,2003,Malawi
FJ444270.1,2003-09-11,Malawi,2003,Malawi
FJ444271.1,2003-09-11,Malawi,2003,Malawi
FJ444272.1,2003-09-11,Malawi,2003,Malawi
FJ444273.1,2003-09-11,Malawi,2003,Malawi
FJ444274.1,2003-09-11,Malawi,2003,Malawi
FJ444275.1,2003-09-11,Malawi,2003,Malawi
FJ444276.1,2003-09-11,Malawi,2003,Malawi
FJ444278.1,2003-09-11,Malawi,2003,Malawi
FJ444279.1,2003-09-11,Malawi,2003,Malawi
FJ444280.1,2003-09-11,Malawi,2003,Malawi
FJ444281.1,2003-09-16,Malawi,2003,Malawi
FJ444282.1,2003-09-16,Malawi,2003,Malawi
FJ444283.1,2003-09-16,Malawi,2003,Malawi
FJ444284.1,2003-09-16,Malawi,2003,Malawi
FJ444285.1,2003-09-16,Malawi,2003,Malawi
FJ444286.1,2003-09-16,Malawi,2003,Malawi
FJ444287.1,2003-09-16,Malawi,2003,Malawi
FJ444288.1,2003-09-16,Malawi,2003,Malawi
FJ444289.1,2003-09-16,Malawi,2003,Malawi
FJ444290.1,2003-09-16,Malawi,2003,Malawi
FJ444291.1,2003-09-16,Malawi,2003,Malawi
FJ444292.1,2003-09-16,Malawi,2003,Malawi
FJ444293.1,2003-09-16,Malawi,2003,Malawi
FJ444294.1,2003-09-16,Malawi,2003,Malawi
FJ444295.1,2003-09-16,Malawi,2003,Malawi
FJ444296.1,2003-09-16,Malawi,2003,Malawi
FJ444297.1,2003-09-16,Malawi,2003,Malawi
FJ444298.1,2003-09-16,Malawi,2003,Malawi
FJ444299.1,2003-09-16,Malawi,2003,Malawi
FJ444300.1,2003-09-16,Malawi,2003,Malawi
FJ444301.1,2003-09-16,Malawi,2003,Malawi
FJ444302.1,2003-09-16,Malawi,2003,Malawi
FJ444303.1,2003-09-16,Malawi,2003,Malawi
FJ444305.1,2003-09-24,Malawi,2003,Malawi
FJ444306.1,2003-09-24,Malawi,2003,Malawi
FJ444308.1,2003-09-24,Malawi,2003,Malawi
FJ444310.1,2003-09-24,Malawi,2003,Malawi
FJ444312.1,2003-09-24,Malawi,2003,Malawi
FJ444315.1,2003-09-24,Malawi,2003,Malawi
FJ444316.1,2003-09-24,Malawi,2003,Malawi
FJ444317.1,2003-09-24,Malawi,2003,Malawi
FJ444318.1,2003-09-24,Malawi,2003,Malawi
FJ444319.1,2003-09-24,Malawi,2003,Malawi
FJ444320.1,2003-09-24,Malawi,2003,Malawi
FJ444321.1,2003-09-24,Malawi,2003,Malawi
FJ444322.1,2003-09-24,Malawi,2003,Malawi
FJ444323.1,2003-09-24,Malawi,2003,Malawi
FJ444324.1,2003-09-24,Malawi,2003,Malawi
FJ444325.1,2003-09-29,Malawi,2003,Malawi
FJ444326.1,2003-09-29,Malawi,2003,Malawi
FJ444327.1,2003-09-29,Malawi,2003,Malawi
FJ444328.1,2003-09-29,Malawi,2003,Malawi
FJ444329.1,2003-09-29,Malawi,2003,Malawi
FJ444330.1,2003-09-29,Malawi,2003,Malawi
FJ444331.1,2003-09-29,Malawi,2003,Malawi
FJ444332.1,2003-09-29,Malawi,2003,Malawi
FJ444333.1,2003-09-29,Malawi,2003,Malawi
FJ444334.1,2003-09-29,Malawi,2003,Malawi
FJ444335.1,2003-09-29,Malawi,2003,Malawi
FJ444336.1,2003-09-29,Malawi,2003,Malawi
FJ444337.1,2003-09-29,Malawi,2003,Malawi
FJ444338.1,2003-09-29,Malawi,2003,Malawi
FJ444339.1,2003-09-29,Malawi,2003,Malawi
FJ444340.1,2003-09-29,Malawi,2003,Malawi
FJ444341.1,2003-09-29,Malawi,2003,Malawi
FJ444342.1,2003-09-29,Malawi,2003,Malawi
FJ444343.1,2003-09-29,Malawi,2003,Malawi
FJ444344.1,2003-09-29,Malawi,2003,Malawi
