name,date,unit,year,country
MH603967.1,2011-XX-XX,Russia,2011,Russia
MH603968.1,2011-XX-XX,Russia,2011,Russia
MH603969.1,2011-XX-XX,Russia,2011,Russia
MH603970.1,2011-XX-XX,Russia,2011,Russia
MH603971.1,2011-XX-XX,Russia,2011,Russia
MH603972.1,2011-XX-XX,Russia,2011,Russia
MH603973.1,2011-XX-XX,Russia,2011,Russia
MH603975.1,2011-XX-XX,Russia,2011,Russia
MH603976.1,2011-XX-XX,Russia,2011,Russia
MH603977.1,2011-XX-XX,Russia,2011,Russia
MH603978.1,2011-XX-XX,Russia,2011,Russia
MH603979.1,2011-XX-XX,Russia,2011,Russia
MH603981.1,2011-XX-XX,Russia,2011,Russia
MH603982.1,2011-XX-XX,Russia,2011,Russia
MH603983.1,2011-XX-XX,Russia,2011,Russia
MH603984.1,2011-XX-XX,Russia,2011,Russia
MH603985.1,2011-XX-XX,Russia,2011,Russia
MH603986.1,2011-XX-XX,Russia,2011,Russia
MH603987.1,2011-XX-XX,Russia,2011,Russia
MH603988.1,2011-XX-XX,Russia,2011,Russia
MH603989.1,2011-XX-XX,Russia,2011,Russia
MH603990.1,2011-XX-XX,Russia,2011,Russia
MH603991.1,2011-XX-XX,Russia,2011,Russia
MH603992.1,2011-XX-XX,Russia,2011,Russia
MH603993.1,2011-XX-XX,Russia,2011,Russia
MH603995.1,2011-XX-XX,Russia,2011,Russia
MH603996.1,2011-XX-XX,Russia,2011,Russia
MH603997.1,2011-XX-XX,Russia,2011,Russia
MH603998.1,2011-XX-XX,Russia,2011,Russia
MH603999.1,2011-XX-XX,Russia,2011,Russia
MH604001.1,2011-XX-XX,Russia,2011,Russia
MH604002.1,2011-XX-XX,Russia,2011,Russia
MH604003.1,2011-XX-XX,Russia,2011,Russia
MH604004.1,2011-XX-XX,Russia,2011,Russia
MH604005.1,2011-XX-XX,Russia,2011,Russia
MH604006.1,2011-XX-XX,Russia,2011,Russia
MH604008.1,2011-XX-XX,Russia,2011,Russia
MH604009.1,2011-XX-XX,Russia,2011,Russia
MH604010.1,2011-XX-XX,Russia,2011,Russia
MH604011.1,2011-XX-XX,Russia,2011,Russia
MH604012.1,2011-XX-XX,Russia,2011,Russia
