name,date,unit,year,country
KR423588.1,2008-05-22,USA,2008,USA
KR423589.1,2008-05-22,USA,2008,USA
KM354355.1,2008-05-27,USA,2008,USA
KM354356.1,2008-05-27,USA,2008,USA
KM354357.1,2008-05-27,USA,2008,USA
KM354358.1,2008-05-27,USA,2008,USA
KM354359.1,2008-05-27,USA,2008,USA
KM354360.1,2008-05-27,USA,2008,USA
KM354361.1,2008-05-27,USA,2008,USA
KM354362.1,2008-05-27,USA,2008,USA
KM354363.1,2008-05-27,USA,2008,USA
KM354364.1,2008-05-27,USA,2008,USA
KM354365.1,2008-05-27,USA,2008,USA
KM354366.1,2008-05-27,USA,2008,USA
KM354367.1,2008-05-27,USA,2008,USA
KM354368.1,2008-05-27,USA,2008,USA
KM354369.1,2008-05-27,USA,2008,USA
KM354370.1,2008-05-27,USA,2008,USA
KM354371.1,2008-05-27,USA,2008,USA
KM354372.1,2008-05-27,USA,2008,USA
KM354373.1,2008-05-27,USA,2008,USA
KM354374.1,2008-05-27,USA,2008,USA
KM354375.1,2008-05-27,USA,2008,USA
KM354376.1,2008-05-27,USA,2008,USA
KM354377.1,2008-05-27,USA,2008,USA
KM354378.1,2008-05-27,USA,2008,USA
KM354379.1,2008-05-27,USA,2008,USA
KM354380.1,2008-05-27,USA,2008,USA
KM354381.1,2008-05-27,USA,2008,USA
KM354382.1,2008-05-27,USA,2008,USA
KM354383.1,2008-05-27,USA,2008,USA
KM354384.1,2008-05-27,USA,2008,USA
KM354385.1,2008-05-27,USA,2008,USA
KM354386.1,2008-05-27,USA,2008,USA
KM354387.1,2008-05-27,USA,2008,USA
KM354388.1,2008-05-27,USA,2008,USA
KM354389.1,2008-05-27,USA,2008,USA
KM354390.1,2008-05-27,USA,2008,USA
KM354391.1,2008-05-27,USA,2008,USA
KM354392.1,2008-05-27,USA,2008,USA
KM354393.1,2008-05-27,USA,2008,USA
JQ610120.1,2008-05-29,USA,2008,USA
JQ610121.1,2008-05-29,USA,2008,USA
JQ610122.1,2008-05-29,USA,2008,USA
JQ610123.1,2008-05-29,USA,2008,USA
JQ610124.1,2008-05-29,USA,2008,USA
JQ610125.1,2008-05-29,USA,2008,USA
JQ610126.1,2008-05-29,USA,2008,USA
JQ610127.1,2008-05-29,USA,2008,USA
JQ610128.1,2008-05-29,USA,2008,USA
JQ610129.1,2008-05-29,USA,2008,USA
JQ610130.1,2008-05-29,USA,2008,USA
JQ610131.1,2008-05-29,USA,2008,USA
JQ610132.1,2008-05-29,USA,2008,USA
JQ610133.1,2008-05-29,USA,2008,USA
JQ610134.1,2008-05-29,USA,2008,USA
JQ610135.1,2008-05-29,USA,2008,USA
JQ610136.1,2008-05-29,USA,2008,USA
JQ610137.1,2008-05-29,USA,2008,USA
JQ610138.1,2008-05-29,USA,2008,USA
JQ610139.1,2008-05-29,USA,2008,USA
JQ610140.1,2008-05-29,USA,2008,USA
JQ610141.1,2008-05-29,USA,2008,USA
JQ610142.1,2008-05-29,USA,2008,USA
JQ610143.1,2008-05-29,USA,2008,USA
JQ610144.1,2008-05-29,USA,2008,USA
JQ610145.1,2008-05-29,USA,2008,USA
JQ610146.1,2008-05-29,USA,2008,USA
JQ610147.1,2008-05-29,USA,2008,USA
JQ610148.1,2008-05-29,USA,2008,USA
JQ610149.1,2008-05-29,USA,2008,USA
JQ610150.1,2008-05-29,USA,2008,USA
JQ610151.1,2008-05-29,USA,2008,USA
JQ610152.1,2008-05-29,USA,2008,USA
JQ610153.1,2008-05-29,USA,2008,USA
JQ610154.1,2008-05-29,USA,2008,USA
JQ610155.1,2008-05-29,USA,2008,USA
JQ610156.1,2008-05-29,USA,2008,USA
KR423303.1,2008-05-30,USA,2008,USA
KR423304.1,2008-05-30,USA,2008,USA
KR423305.1,2008-05-30,USA,2008,USA
KR423306.1,2008-05-30,USA,2008,USA
KR423307.1,2008-05-30,USA,2008,USA
KR423308.1,2008-05-30,USA,2008,USA
KR423309.1,2008-05-30,USA,2008,USA
KR423310.1,2008-05-30,USA,2008,USA
KR423311.1,2008-05-30,USA,2008,USA
KR423312.1,2008-05-30,USA,2008,USA
KR423313.1,2008-05-30,USA,2008,USA
KR423314.1,2008-05-30,USA,2008,USA
KR423315.1,2008-05-30,USA,2008,USA
KR423316.1,2008-05-30,USA,2008,USA
KR423317.1,2008-05-30,USA,2008,USA
KR423318.1,2008-05-30,USA,2008,USA
KR423319.1,2008-06-24,USA,2008,USA
KR423320.1,2008-06-24,USA,2008,USA
KR423321.1,2008-06-24,USA,2008,USA
KR423322.1,2008-06-24,USA,2008,USA
KR423323.1,2008-06-24,USA,2008,USA
KR423324.1,2008-06-24,USA,2008,USA
KR423325.1,2008-06-24,USA,2008,USA
KR423326.1,2008-06-24,USA,2008,USA
KR423327.1,2008-06-24,USA,2008,USA
KR423328.1,2008-06-24,USA,2008,USA
KR423329.1,2008-06-24,USA,2008,USA
KR423330.1,2008-06-24,USA,2008,USA
KR423331.1,2008-06-24,USA,2008,USA
KR423332.1,2008-06-24,USA,2008,USA
KR423333.1,2008-06-24,USA,2008,USA
KR423334.1,2008-06-24,USA,2008,USA
KR423335.1,2008-06-24,USA,2008,USA
KR423336.1,2008-06-24,USA,2008,USA
KR423337.1,2008-06-24,USA,2008,USA
KR423338.1,2008-06-24,USA,2008,USA
KR423339.1,2008-06-24,USA,2008,USA
KM354314.1,2008-07-08,USA,2008,USA
KM354315.1,2008-07-08,USA,2008,USA
KM354316.1,2008-07-08,USA,2008,USA
KM354317.1,2008-07-08,USA,2008,USA
KM354318.1,2008-07-08,USA,2008,USA
KM354319.1,2008-07-08,USA,2008,USA
KM354320.1,2008-07-08,USA,2008,USA
KM354321.1,2008-07-08,USA,2008,USA
KM354322.1,2008-07-08,USA,2008,USA
KM354323.1,2008-07-08,USA,2008,USA
KM354324.1,2008-07-08,USA,2008,USA
KM354325.1,2008-07-08,USA,2008,USA
KM354326.1,2008-07-08,USA,2008,USA
KM354327.1,2008-07-08,USA,2008,USA
KM354328.1,2008-07-08,USA,2008,USA
KM354329.1,2008-07-08,USA,2008,USA
KM354330.1,2008-07-08,USA,2008,USA
KM354331.1,2008-07-08,USA,2008,USA
KM354332.1,2008-07-08,USA,2008,USA
KM354333.1,2008-07-08,USA,2008,USA
KM354334.1,2008-07-08,USA,2008,USA
KM354335.1,2008-07-08,USA,2008,USA
KM354336.1,2008-07-08,USA,2008,USA
KM354337.1,2008-07-08,USA,2008,USA
KM354338.1,2008-07-08,USA,2008,USA
KM354339.1,2008-07-08,USA,2008,USA
KM354340.1,2008-07-08,USA,2008,USA
KM354341.1,2008-07-08,USA,2008,USA
KM354342.1,2008-07-08,USA,2008,USA
KM354343.1,2008-07-08,USA,2008,USA
KM354344.1,2008-07-08,USA,2008,USA
KM354345.1,2008-07-08,USA,2008,USA
KM354346.1,2008-07-08,USA,2008,USA
KM354347.1,2008-07-08,USA,2008,USA
KM354348.1,2008-07-08,USA,2008,USA
KM354349.1,2008-07-08,USA,2008,USA
KM354350.1,2008-07-08,USA,2008,USA
KM354351.1,2008-07-08,USA,2008,USA
KM354352.1,2008-07-08,USA,2008,USA
KM354353.1,2008-07-08,USA,2008,USA
KM354354.1,2008-07-08,USA,2008,USA
KR423234.1,2008-07-11,USA,2008,USA
KR423235.1,2008-07-11,USA,2008,USA
KR423236.1,2008-07-11,USA,2008,USA
KR423237.1,2008-07-11,USA,2008,USA
KR423238.1,2008-07-11,USA,2008,USA
KR423239.1,2008-07-11,USA,2008,USA
KR423240.1,2008-07-11,USA,2008,USA
KR423241.1,2008-07-11,USA,2008,USA
KR423242.1,2008-07-11,USA,2008,USA
KR423243.1,2008-07-11,USA,2008,USA
KR423244.1,2008-07-11,USA,2008,USA
KR423245.1,2008-07-11,USA,2008,USA
