name,date,unit,year,country
KC186934.1,2009-06-23,Malawi,2009,Malawi
KC186935.1,2009-06-23,Malawi,2009,Malawi
KC186936.1,2009-06-23,Malawi,2009,Malawi
KC186937.1,2009-06-23,Malawi,2009,Malawi
KC186938.1,2009-06-23,Malawi,2009,Malawi
KC186939.1,2009-06-23,Malawi,2009,Malawi
KC186940.1,2009-06-23,Malawi,2009,Malawi
KC186941.1,2009-06-23,Malawi,2009,Malawi
KC186942.1,2009-06-23,Malawi,2009,Malawi
KC186943.1,2009-06-23,Malawi,2009,Malawi
KC186944.1,2009-06-23,Malawi,2009,Malawi
KC186945.1,2009-06-23,Malawi,2009,Malawi
KC186946.1,2009-06-23,Malawi,2009,Malawi
KC186947.1,2009-06-23,Malawi,2009,Malawi
KC186948.1,2009-06-23,Malawi,2009,Malawi
KC186949.1,2009-06-23,Malawi,2009,Malawi
KC186950.1,2009-06-23,Malawi,2009,Malawi
KC186951.1,2009-06-23,Malawi,2009,Malawi
KC186952.1,2009-06-23,Malawi,2009,Malawi
KC186953.1,2009-06-23,Malawi,2009,Malawi
KC186954.1,2009-06-23,Malawi,2009,Malawi
KC186955.1,2009-06-23,Malawi,2009,Malawi
KC186956.1,2009-06-23,Malawi,2009,Malawi
KC186957.1,2009-06-23,Malawi,2009,Malawi
KC186958.1,2009-06-23,Malawi,2009,Malawi
KC186959.1,2009-06-23,Malawi,2009,Malawi
KC186960.1,2009-06-23,Malawi,2009,Malawi
KC186961.1,2009-06-23,Malawi,2009,Malawi
KC186962.1,2009-06-23,Malawi,2009,Malawi
KC186963.1,2009-06-23,Malawi,2009,Malawi
KC186964.1,2009-06-23,Malawi,2009,Malawi
KC186965.1,2009-06-23,Malawi,2009,Malawi
KC186966.1,2009-06-23,Malawi,2009,Malawi
KC186967.1,2009-06-23,Malawi,2009,Malawi
KC186968.1,2009-06-23,Malawi,2009,Malawi
KC186969.1,2009-06-23,Malawi,2009,Malawi
KC186970.1,2009-06-23,Malawi,2009,Malawi
