name,date,unit,season,country
KU821079.1,2015-12-29,Canada: British Columbia,2015-2016,Canada
KU821080.1,2016-01-03,Canada: British Columbia,2015-2016,Canada
KU821081.1,2016-01-18,Canada: British Columbia,2015-2016,Canada
KU821082.1,2016-01-18,Canada: British Columbia,2015-2016,Canada
KU821083.1,2016-01-21,Canada: British Columbia,2015-2016,Canada
KU821084.1,2016-01-22,Canada: British Columbia,2015-2016,Canada
MF195367.1,2016-01-25,Canada: British Columbia,2015-2016,Canada
MF195368.1,2016-01-26,Canada: British Columbia,2015-2016,Canada
KU821085.1,2016-01-27,Canada: British Columbia,2015-2016,Canada
KU821086.1,2016-01-27,Canada: British Columbia,2015-2016,Canada
KU821087.1,2016-01-30,Canada: British Columbia,2015-2016,Canada
KU821088.1,2016-02-02,Canada: British Columbia,2015-2016,Canada
KU821089.1,2016-02-03,Canada: British Columbia,2015-2016,Canada
KU821090.1,2016-02-03,Canada: British Columbia,2015-2016,Canada
KU821091.1,2016-02-04,Canada: British Columbia,2015-2016,Canada
KU821094.1,2016-02-05,Canada: British Columbia,2015-2016,Canada
KU821092.1,2016-02-07,Canada: British Columbia,2015-2016,Canada
KU821093.1,2016-02-07,Canada: British Columbia,2015-2016,Canada
KU821095.1,2016-02-09,Canada: British Columbia,2015-2016,Canada
KU821096.1,2016-02-09,Canada: British Columbia,2015-2016,Canada
KU821097.1,2016-02-09,Canada: British Columbia,2015-2016,Canada
KU821098.1,2016-02-09,Canada: British Columbia,2015-2016,Canada
MF195369.1,2016-02-10,Canada: British Columbia,2015-2016,Canada
MF195370.1,2016-02-10,Canada: British Columbia,2015-2016,Canada
KU821099.1,2016-02-10,Canada: British Columbia,2015-2016,Canada
KU821100.1,2016-02-11,Canada: British Columbia,2015-2016,Canada
MF195371.1,2016-02-14,Canada: British Columbia,2015-2016,Canada
MF195372.1,2016-02-15,Canada: British Columbia,2015-2016,Canada
MF195373.1,2016-02-16,Canada: British Columbia,2015-2016,Canada
MF195374.1,2016-02-18,Canada: British Columbia,2015-2016,Canada
MF195375.1,2016-02-19,Canada: British Columbia,2015-2016,Canada
MF195376.1,2016-02-19,Canada: British Columbia,2015-2016,Canada
MF195377.1,2016-02-21,Canada: British Columbia,2015-2016,Canada
MF195378.1,2016-02-22,Canada: British Columbia,2015-2016,Canada
MF195379.1,2016-02-24,Canada: British Columbia,2015-2016,Canada
MF195380.1,2016-02-25,Canada: British Columbia,2015-2016,Canada
MF195381.1,2016-02-26,Canada: British Columbia,2015-2016,Canada
MF195382.1,2016-02-29,Canada: British Columbia,2015-2016,Canada
MF195383.1,2016-02-29,Canada: British Columbia,2015-2016,Canada
MF195384.1,2016-02-29,Canada: British Columbia,2015-2016,Canada
MF195385.1,2016-03-01,Canada: British Columbia,2015-2016,Canada
MF195386.1,2016-03-02,Canada: British Columbia,2015-2016,Canada
MF195387.1,2016-03-07,Canada: British Columbia,2015-2016,Canada
MF195388.1,2016-03-07,Canada: British Columbia,2015-2016,Canada
MF195389.1,2016-03-07,Canada: British Columbia,2015-2016,Canada
MF195390.1,2016-03-07,Canada: British Columbia,2015-2016,Canada
MF195391.1,2016-03-08,Canada: British Columbia,2015-2016,Canada
MF195392.1,2016-03-08,Canada: British Columbia,2015-2016,Canada
MF195393.1,2016-03-09,Canada: British Columbia,2015-2016,Canada
MF195394.1,2016-03-09,Canada: British Columbia,2015-2016,Canada
MF195395.1,2016-03-09,Canada: British Columbia,2015-2016,Canada
MF195396.1,2016-03-13,Canada: British Columbia,2015-2016,Canada
MF195397.1,2016-03-13,Canada: British Columbia,2015-2016,Canada
MF195398.1,2016-03-15,Canada: British Columbia,2015-2016,Canada
MF195401.1,2016-03-15,Canada: British Columbia,2015-2016,Canada
MF195399.1,2016-03-16,Canada: British Columbia,2015-2016,Canada
MF195400.1,2016-03-16,Canada: British Columbia,2015-2016,Canada
MF195402.1,2016-03-19,Canada: British Columbia,2015-2016,Canada
MF195403.1,2016-03-22,Canada: British Columbia,2015-2016,Canada
MF195404.1,2016-03-23,Canada: British Columbia,2015-2016,Canada
MF195405.1,2016-03-24,Canada: British Columbia,2015-2016,Canada
MF195407.1,2016-03-29,Canada: British Columbia,2015-2016,Canada
MF195406.1,2016-03-30,Canada: British Columbia,2015-2016,Canada
MF195408.1,2016-03-30,Canada: British Columbia,2015-2016,Canada
MF195409.1,2016-04-05,Canada: British Columbia,2015-2016,Canada
MF195410.1,2016-04-05,Canada: British Columbia,2015-2016,Canada
MF195411.1,2016-04-11,Canada: British Columbia,2015-2016,Canada
MF195412.1,2016-04-12,Canada: British Columbia,2015-2016,Canada
