name,date,unit,season,country
KJ406507.1,2013-11-06,Canada: Alberta,2013-2014,Canada
KJ406508.1,2013-11-15,Canada: Alberta,2013-2014,Canada
KJ406509.1,2013-11-19,Canada: Alberta,2013-2014,Canada
KJ406510.1,2013-12-04,Canada: Alberta,2013-2014,Canada
KJ406511.1,2013-12-05,Canada: Alberta,2013-2014,Canada
KJ406512.1,2013-12-09,Canada: Alberta,2013-2014,Canada
KJ406513.1,2013-12-09,Canada: Alberta,2013-2014,Canada
KP864321.1,2013-12-10,Canada: Alberta,2013-2014,Canada
KJ406514.1,2013-12-11,Canada: Alberta,2013-2014,Canada
KJ406515.1,2013-12-11,Canada: Alberta,2013-2014,Canada
KJ406516.1,2013-12-13,Canada: Alberta,2013-2014,Canada
KJ406517.1,2013-12-16,Canada: Alberta,2013-2014,Canada
KJ406518.1,2013-12-17,Canada: Alberta,2013-2014,Canada
KJ406519.1,2013-12-17,Canada: Alberta,2013-2014,Canada
KP864322.1,2013-12-18,Canada: Alberta,2013-2014,Canada
KJ406520.1,2013-12-19,Canada: Alberta,2013-2014,Canada
KJ406521.1,2013-12-19,Canada: Alberta,2013-2014,Canada
KJ406522.1,2013-12-19,Canada: Alberta,2013-2014,Canada
KJ406523.1,2013-12-19,Canada: Alberta,2013-2014,Canada
KP864326.1,2013-12-23,Canada: Alberta,2013-2014,Canada
KP864327.1,2013-12-23,Canada: Alberta,2013-2014,Canada
KJ406524.1,2013-12-23,Canada: Alberta,2013-2014,Canada
KJ406525.1,2013-12-23,Canada: Alberta,2013-2014,Canada
KJ406526.1,2013-12-23,Canada: Alberta,2013-2014,Canada
KJ406528.1,2013-12-23,Canada: Alberta,2013-2014,Canada
KP864325.1,2013-12-24,Canada: Alberta,2013-2014,Canada
KP864328.1,2013-12-24,Canada: Alberta,2013-2014,Canada
KJ406527.1,2013-12-24,Canada: Alberta,2013-2014,Canada
KP864330.1,2013-12-26,Canada: Alberta,2013-2014,Canada
KP864329.1,2013-12-27,Canada: Alberta,2013-2014,Canada
KP864333.1,2013-12-27,Canada: Alberta,2013-2014,Canada
KP864331.1,2013-12-28,Canada: Alberta,2013-2014,Canada
KP864334.1,2013-12-29,Canada: Alberta,2013-2014,Canada
KP864323.1,2013-12-30,Canada: Alberta,2013-2014,Canada
KP864324.1,2013-12-30,Canada: Alberta,2013-2014,Canada
KP864332.1,2013-12-30,Canada: Alberta,2013-2014,Canada
KP864335.1,2014-01-02,Canada: Alberta,2013-2014,Canada
KP864336.1,2014-01-02,Canada: Alberta,2013-2014,Canada
KP864337.1,2014-01-02,Canada: Alberta,2013-2014,Canada
KP864338.1,2014-01-02,Canada: Alberta,2013-2014,Canada
KP864339.1,2014-01-02,Canada: Alberta,2013-2014,Canada
KP864312.1,2014-01-03,Canada: Alberta,2013-2014,Canada
KP864319.1,2014-01-06,Canada: Alberta,2013-2014,Canada
KP864340.1,2014-01-06,Canada: Alberta,2013-2014,Canada
KP864341.1,2014-01-06,Canada: Alberta,2013-2014,Canada
KP864342.1,2014-01-07,Canada: Alberta,2013-2014,Canada
KP864343.1,2014-01-07,Canada: Alberta,2013-2014,Canada
KP864344.1,2014-01-08,Canada: Alberta,2013-2014,Canada
KP864345.1,2014-01-08,Canada: Alberta,2013-2014,Canada
KP864346.1,2014-01-08,Canada: Alberta,2013-2014,Canada
KP864347.1,2014-01-08,Canada: Alberta,2013-2014,Canada
KP864348.1,2014-01-09,Canada: Alberta,2013-2014,Canada
KP864349.1,2014-01-09,Canada: Alberta,2013-2014,Canada
KP864350.1,2014-01-09,Canada: Alberta,2013-2014,Canada
KP864351.1,2014-01-09,Canada: Alberta,2013-2014,Canada
KP864352.1,2014-01-13,Canada: Alberta,2013-2014,Canada
KP864360.1,2014-01-13,Canada: Alberta,2013-2014,Canada
KP864361.1,2014-01-13,Canada: Alberta,2013-2014,Canada
KP864353.1,2014-01-14,Canada: Alberta,2013-2014,Canada
KP864354.1,2014-01-14,Canada: Alberta,2013-2014,Canada
KP864355.1,2014-01-14,Canada: Alberta,2013-2014,Canada
KP864356.1,2014-01-14,Canada: Alberta,2013-2014,Canada
KP864359.1,2014-01-14,Canada: Alberta,2013-2014,Canada
KP864358.1,2014-01-15,Canada: Alberta,2013-2014,Canada
KP864357.1,2014-01-16,Canada: Alberta,2013-2014,Canada
KP864362.1,2014-01-17,Canada: Alberta,2013-2014,Canada
KP864364.1,2014-01-18,Canada: Alberta,2013-2014,Canada
KP864363.1,2014-01-20,Canada: Alberta,2013-2014,Canada
KP864365.1,2014-01-20,Canada: Alberta,2013-2014,Canada
KP864366.1,2014-01-21,Canada: Alberta,2013-2014,Canada
KP864368.1,2014-01-22,Canada: Alberta,2013-2014,Canada
KP864367.1,2014-01-23,Canada: Alberta,2013-2014,Canada
KP864320.1,2014-01-28,Canada: Alberta,2013-2014,Canada
KP864313.1,2014-02-03,Canada: Alberta,2013-2014,Canada
KP864369.1,2014-02-06,Canada: Alberta,2013-2014,Canada
KP864314.1,2014-02-27,Canada: Alberta,2013-2014,Canada
KP864370.1,2014-03-03,Canada: Alberta,2013-2014,Canada
KP864315.1,2014-03-11,Canada: Alberta,2013-2014,Canada
KP864311.1,2014-03-12,Canada: Alberta,2013-2014,Canada
KP864316.1,2014-03-12,Canada: Alberta,2013-2014,Canada
KP864317.1,2014-03-20,Canada: Alberta,2013-2014,Canada
KP864318.1,2014-04-02,Canada: Alberta,2013-2014,Canada
