name,date,unit,season,country
KF041868.1,2012-01-03,Brazil,2011-2012,Brazil
KF041869.1,2012-01-13,Brazil,2011-2012,Brazil
KF041870.1,2012-01-26,Brazil,2011-2012,Brazil
KF041880.1,2012-03-03,Brazil,2011-2012,Brazil
JX679212.1,2012-03-04,Brazil,2011-2012,Brazil
KC291183.1,2012-03-06,Brazil,2011-2012,Brazil
KF041881.1,2012-03-15,Brazil,2011-2012,Brazil
KF041871.1,2012-03-25,Brazil,2011-2012,Brazil
KF041872.1,2012-04-04,Brazil,2011-2012,Brazil
KF041875.1,2012-04-14,Brazil,2011-2012,Brazil
KF041876.1,2012-04-14,Brazil,2011-2012,Brazil
KC293537.1,2012-04-18,Brazil,2011-2012,Brazil
KF041873.1,2012-04-19,Brazil,2011-2012,Brazil
KF041877.1,2012-04-21,Brazil,2011-2012,Brazil
KF041878.1,2012-04-21,Brazil,2011-2012,Brazil
KF041874.1,2012-04-22,Brazil,2011-2012,Brazil
KF041879.1,2012-04-23,Brazil,2011-2012,Brazil
KF041884.1,2012-04-24,Brazil,2011-2012,Brazil
KC291185.1,2012-05-06,Brazil,2011-2012,Brazil
KF041882.1,2012-05-07,Brazil,2011-2012,Brazil
KF041883.1,2012-05-14,Brazil,2011-2012,Brazil
KY926205.1,2012-05-28,Brazil,2011-2012,Brazil
KC291186.1,2012-06-11,Brazil,2011-2012,Brazil
KY926045.1,2012-06-13,Brazil,2011-2012,Brazil
KY925893.1,2012-06-22,Brazil,2011-2012,Brazil
KY925078.1,2012-06-27,Brazil,2011-2012,Brazil
KF041885.1,2012-06-27,Brazil,2011-2012,Brazil
KY926120.1,2012-06-28,Brazil,2011-2012,Brazil
KY925052.1,2012-07-06,Brazil,2011-2012,Brazil
KY925238.1,2012-07-06,Brazil,2011-2012,Brazil
KY925299.1,2012-07-06,Brazil,2011-2012,Brazil
KY925938.1,2012-07-06,Brazil,2011-2012,Brazil
KY926261.1,2012-07-06,Brazil,2011-2012,Brazil
KY925625.1,2012-07-08,Brazil,2011-2012,Brazil
KY925931.1,2012-07-08,Brazil,2011-2012,Brazil
KY925086.1,2012-07-10,Brazil,2011-2012,Brazil
KY925735.1,2012-07-10,Brazil,2011-2012,Brazil
KC291184.1,2012-07-16,Brazil,2011-2012,Brazil
KY925699.1,2012-07-17,Brazil,2011-2012,Brazil
KY925351.1,2012-07-20,Brazil,2011-2012,Brazil
KY924956.1,2012-07-23,Brazil,2011-2012,Brazil
KY925274.1,2012-07-23,Brazil,2011-2012,Brazil
KY926026.1,2012-07-23,Brazil,2011-2012,Brazil
KY925543.1,2012-07-25,Brazil,2011-2012,Brazil
KY926282.1,2012-07-26,Brazil,2011-2012,Brazil
KC291187.1,2012-07-26,Brazil,2011-2012,Brazil
KY924991.1,2012-07-27,Brazil,2011-2012,Brazil
KY925702.1,2012-07-30,Brazil,2011-2012,Brazil
KY926273.1,2012-08-08,Brazil,2011-2012,Brazil
KY925669.1,2012-08-10,Brazil,2011-2012,Brazil
KY926225.1,2012-08-10,Brazil,2011-2012,Brazil
KY926276.1,2012-08-23,Brazil,2011-2012,Brazil
