name,date,unit,season,country
GQ183633.1,2009-05-10,Finland,2008-2009,Finland
GQ283488.1,2009-05-26,Finland,2008-2009,Finland
GQ283493.1,2009-05-28,Finland,2008-2009,Finland
HQ234708.1,2009-06-10,Finland,2008-2009,Finland
HQ228028.1,2009-06-11,Finland,2008-2009,Finland
HQ228025.1,2009-06-12,Finland,2008-2009,Finland
HQ228026.1,2009-06-12,Finland,2008-2009,Finland
HQ228027.1,2009-06-13,Finland,2008-2009,Finland
HQ228029.1,2009-06-13,Finland,2008-2009,Finland
HQ228030.1,2009-06-15,Finland,2008-2009,Finland
HQ234707.1,2009-06-15,Finland,2008-2009,Finland
HQ228032.1,2009-06-18,Finland,2008-2009,Finland
HQ228034.1,2009-06-18,Finland,2008-2009,Finland
HQ228038.1,2009-06-18,Finland,2008-2009,Finland
HQ228039.1,2009-06-18,Finland,2008-2009,Finland
HQ228040.1,2009-06-18,Finland,2008-2009,Finland
HQ228041.1,2009-06-18,Finland,2008-2009,Finland
HQ228033.1,2009-06-19,Finland,2008-2009,Finland
HQ228035.1,2009-06-19,Finland,2008-2009,Finland
HQ228036.1,2009-06-19,Finland,2008-2009,Finland
HQ228037.1,2009-06-19,Finland,2008-2009,Finland
HQ228031.1,2009-06-20,Finland,2008-2009,Finland
HQ228042.1,2009-06-23,Finland,2008-2009,Finland
HQ228043.1,2009-06-28,Finland,2008-2009,Finland
HQ228044.1,2009-07-03,Finland,2008-2009,Finland
HQ228047.1,2009-07-03,Finland,2008-2009,Finland
HQ228045.1,2009-07-04,Finland,2008-2009,Finland
HQ228046.1,2009-07-04,Finland,2008-2009,Finland
HQ228048.1,2009-07-07,Finland,2008-2009,Finland
HQ228049.1,2009-07-09,Finland,2008-2009,Finland
HQ228050.1,2009-07-09,Finland,2008-2009,Finland
HQ228061.1,2009-07-09,Finland,2008-2009,Finland
HQ228051.1,2009-07-12,Finland,2008-2009,Finland
HQ228052.1,2009-07-13,Finland,2008-2009,Finland
HQ228053.1,2009-07-14,Finland,2008-2009,Finland
HQ228054.1,2009-07-14,Finland,2008-2009,Finland
HQ228055.1,2009-07-15,Finland,2008-2009,Finland
HQ228056.1,2009-07-15,Finland,2008-2009,Finland
HQ228076.1,2009-07-16,Finland,2008-2009,Finland
HQ228075.1,2009-07-17,Finland,2008-2009,Finland
HQ228077.1,2009-07-17,Finland,2008-2009,Finland
HQ228074.1,2009-07-20,Finland,2008-2009,Finland
HQ228078.1,2009-07-20,Finland,2008-2009,Finland
HQ228079.1,2009-07-20,Finland,2008-2009,Finland
HQ228062.1,2009-07-21,Finland,2008-2009,Finland
HQ228080.1,2009-07-21,Finland,2008-2009,Finland
HQ228063.1,2009-07-22,Finland,2008-2009,Finland
GU292341.1,2009-07-24,Finland,2008-2009,Finland
HQ228064.1,2009-07-27,Finland,2008-2009,Finland
HQ228065.1,2009-07-27,Finland,2008-2009,Finland
HQ228057.1,2009-08-31,Finland,2008-2009,Finland
HQ228058.1,2009-09-01,Finland,2008-2009,Finland
HQ228066.1,2009-09-02,Finland,2008-2009,Finland
HQ228081.1,2009-09-04,Finland,2008-2009,Finland
HQ228059.1,2009-09-08,Finland,2008-2009,Finland
HQ228060.1,2009-09-08,Finland,2008-2009,Finland
HQ228067.1,2009-09-09,Finland,2008-2009,Finland
HQ228082.1,2009-09-10,Finland,2008-2009,Finland
HQ228068.1,2009-09-16,Finland,2008-2009,Finland
HQ228070.1,2009-09-18,Finland,2008-2009,Finland
HQ228071.1,2009-09-18,Finland,2008-2009,Finland
HQ228069.1,2009-09-21,Finland,2008-2009,Finland
HQ228083.1,2009-09-22,Finland,2008-2009,Finland
HQ228072.1,2009-09-23,Finland,2008-2009,Finland
HQ228085.1,2009-09-30,Finland,2008-2009,Finland
HQ228086.1,2009-10-XX,Finland,2008-2009,Finland
HQ228087.1,2009-10-XX,Finland,2008-2009,Finland
