name,date,unit,season,country
KC891026.1,2011-10-16,USA,2011-2012,USA
KC891023.1,2011-10-30,USA,2011-2012,USA
KC891201.1,2011-10-30,USA,2011-2012,USA
KC891210.1,2011-11-16,USA,2011-2012,USA
KC891205.1,2011-11-26,USA,2011-2012,USA
KC891059.1,2011-11-29,USA,2011-2012,USA
JQ348830.1,2011-12-01,USA,2011-2012,USA
JQ348837.1,2011-12-01,USA,2011-2012,USA
KC891202.1,2011-12-07,USA,2011-2012,USA
KC891250.1,2011-12-07,USA,2011-2012,USA
KC891355.1,2011-12-14,USA,2011-2012,USA
KC891378.1,2011-12-16,USA,2011-2012,USA
KC891260.1,2011-12-19,USA,2011-2012,USA
KC891263.1,2011-12-20,USA,2011-2012,USA
KC891317.1,2011-12-22,USA,2011-2012,USA
KC891325.1,2011-12-28,USA,2011-2012,USA
KC891364.1,2012-01-03,USA,2011-2012,USA
KC891367.1,2012-01-04,USA,2011-2012,USA
KC891384.1,2012-01-04,USA,2011-2012,USA
KC891323.1,2012-01-06,USA,2011-2012,USA
KC891054.1,2012-01-07,USA,2011-2012,USA
KC891358.1,2012-01-09,USA,2011-2012,USA
KC891495.1,2012-01-10,USA,2011-2012,USA
KC891588.1,2012-01-10,USA,2011-2012,USA
KC891360.1,2012-01-11,USA,2011-2012,USA
KC891363.1,2012-01-15,USA,2011-2012,USA
KC891372.1,2012-01-17,USA,2011-2012,USA
KC891385.1,2012-01-17,USA,2011-2012,USA
KC891483.1,2012-01-17,USA,2011-2012,USA
KC891015.1,2012-01-18,USA,2011-2012,USA
KC891458.1,2012-01-18,USA,2011-2012,USA
KC891446.1,2012-01-19,USA,2011-2012,USA
KC891548.1,2012-01-19,USA,2011-2012,USA
KC891455.1,2012-01-22,USA,2011-2012,USA
KC891449.1,2012-01-23,USA,2011-2012,USA
KC891489.1,2012-01-23,USA,2011-2012,USA
KC891035.1,2012-01-24,USA,2011-2012,USA
KC891234.1,2012-01-24,USA,2011-2012,USA
KC891563.1,2012-01-25,USA,2011-2012,USA
KC891566.1,2012-01-25,USA,2011-2012,USA
KC891471.1,2012-01-26,USA,2011-2012,USA
KC891506.1,2012-01-26,USA,2011-2012,USA
KC891509.1,2012-01-26,USA,2011-2012,USA
KC891540.1,2012-01-26,USA,2011-2012,USA
KC891461.1,2012-01-27,USA,2011-2012,USA
KC891480.1,2012-01-28,USA,2011-2012,USA
KC891492.1,2012-01-29,USA,2011-2012,USA
KC891468.1,2012-01-30,USA,2011-2012,USA
KC891032.1,2012-01-31,USA,2011-2012,USA
KC891075.1,2012-01-31,USA,2011-2012,USA
