name,date,unit,season,country
GQ200282.1,2009-05-17,Chile,2008-2009,Chile
GQ200280.1,2009-05-18,Chile,2008-2009,Chile
GQ200284.1,2009-05-18,Chile,2008-2009,Chile
GQ200286.1,2009-05-19,Chile,2008-2009,Chile
CY089179.1,2009-05-22,Chile,2008-2009,Chile
CY075083.1,2009-05-23,Chile,2008-2009,Chile
CY075091.1,2009-05-25,Chile,2008-2009,Chile
CY075099.1,2009-05-25,Chile,2008-2009,Chile
CY075107.1,2009-05-25,Chile,2008-2009,Chile
CY075115.1,2009-05-25,Chile,2008-2009,Chile
CY075123.1,2009-05-25,Chile,2008-2009,Chile
CY075131.1,2009-05-26,Chile,2008-2009,Chile
CY075139.1,2009-05-27,Chile,2008-2009,Chile
CY075147.1,2009-05-27,Chile,2008-2009,Chile
CY075155.1,2009-05-28,Chile,2008-2009,Chile
CY075163.1,2009-05-29,Chile,2008-2009,Chile
GQ286175.1,2009-06-11,Chile,2008-2009,Chile
CY075171.1,2009-06-13,Chile,2008-2009,Chile
CY075179.1,2009-06-15,Chile,2008-2009,Chile
CY075187.1,2009-06-15,Chile,2008-2009,Chile
CY075195.1,2009-06-15,Chile,2008-2009,Chile
CY075203.1,2009-06-15,Chile,2008-2009,Chile
CY075211.1,2009-06-15,Chile,2008-2009,Chile
CY075219.1,2009-06-18,Chile,2008-2009,Chile
CY046923.1,2009-06-18,Chile,2008-2009,Chile
CY075227.1,2009-06-19,Chile,2008-2009,Chile
GQ359771.1,2009-06-19,Chile,2008-2009,Chile
CY075235.1,2009-06-20,Chile,2008-2009,Chile
CY075243.1,2009-06-22,Chile,2008-2009,Chile
CY046925.1,2009-06-24,Chile,2008-2009,Chile
CY075251.1,2009-06-25,Chile,2008-2009,Chile
CY075259.1,2009-06-25,Chile,2008-2009,Chile
CY075267.1,2009-06-26,Chile,2008-2009,Chile
CY075275.1,2009-06-26,Chile,2008-2009,Chile
CY075283.1,2009-06-26,Chile,2008-2009,Chile
CY075291.1,2009-06-26,Chile,2008-2009,Chile
CY046928.1,2009-06-26,Chile,2008-2009,Chile
CY075299.1,2009-06-30,Chile,2008-2009,Chile
CY075307.1,2009-06-30,Chile,2008-2009,Chile
CY075315.1,2009-06-30,Chile,2008-2009,Chile
CY075323.1,2009-06-30,Chile,2008-2009,Chile
CY046930.1,2009-06-30,Chile,2008-2009,Chile
CY075331.1,2009-07-01,Chile,2008-2009,Chile
CY075339.1,2009-07-01,Chile,2008-2009,Chile
CY075347.1,2009-07-01,Chile,2008-2009,Chile
CY075355.1,2009-07-01,Chile,2008-2009,Chile
CY075363.1,2009-07-02,Chile,2008-2009,Chile
CY075371.1,2009-07-02,Chile,2008-2009,Chile
CY075379.1,2009-07-03,Chile,2008-2009,Chile
HM104438.1,2009-07-05,Chile,2008-2009,Chile
CY075387.1,2009-07-06,Chile,2008-2009,Chile
CY075395.1,2009-07-06,Chile,2008-2009,Chile
CY075403.1,2009-07-06,Chile,2008-2009,Chile
CY075411.1,2009-07-07,Chile,2008-2009,Chile
CY075419.1,2009-07-07,Chile,2008-2009,Chile
CY046934.1,2009-07-07,Chile,2008-2009,Chile
CY046936.1,2009-07-07,Chile,2008-2009,Chile
CY046938.1,2009-07-07,Chile,2008-2009,Chile
CY075427.1,2009-07-09,Chile,2008-2009,Chile
CY075435.1,2009-07-09,Chile,2008-2009,Chile
CY075443.1,2009-07-10,Chile,2008-2009,Chile
CY075451.1,2009-07-13,Chile,2008-2009,Chile
CY075459.1,2009-07-17,Chile,2008-2009,Chile
CY075467.1,2009-07-20,Chile,2008-2009,Chile
